company_name,ico,segment,is_client,play_type,employee_count,current_acv_eur,potential_acv_eur,whitespace_eur,current_products,top_upsell,all_upsells,competitor_tools,nearest_renewal,days_to_renewal
FANUC Czech s.r.o.,27181499,D&M,False,greenfield,493,0,73950,73950,,,,,,
"KAMPOS, s.r.o.",07618174,D&M,False,greenfield,366,0,73200,73200,,,,,,
Agro,,unknown,True,upsell,,49000,121450,72450,PDMC | Vault,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,,2026-08-11,110
"LAC, s.r.o.",08209839,unknown,True,upsell,299,29400,99000,69600,Inventor | PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Vault; Moldflow,,2028-11-22,944
BD SENSORS,49968416,D&M,True,upsell,137,39200,104100,64900,PDMC | Vault,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,,2026-11-13,204
DIS Sensors,,unknown,True,upsell,27,39200,104100,64900,PDMC | Vault,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,,2026-11-13,204
Blumenbecker Prag s.r.o.,63072394,D&M,False,displacement,308,0,61600,61600,,,,dassault systemes,,
AFI EUROPE Czech Republic,25667441,AEC,False,greenfield,405,0,60750,60750,,,,,,
Kestrel Aircraft Interiors,08248125,M&E,True,upsell,734,44000,104000,60000,AutoCAD,AEC Collection,AEC Collection; PDMC; Forma,,2027-04-18,360
AIRCRAFT INDUSTRIES,27174841,D&M,True,upsell,734,44000,104000,60000,AutoCAD,AEC Collection,AEC Collection; PDMC; Forma,,2027-04-18,360
FPT Industrie S.p.A.,,unknown,True,upsell,256,44000,104000,60000,AutoCAD,AEC Collection,AEC Collection; PDMC; Forma,,2027-04-18,360
SIMAF CZ s.r.o.,26977770,unknown,True,upsell,,63000,121450,58450,PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,,2027-05-02,374
A - INVENT s.r.o.,28046676,unknown,True,upsell,116,8300,65800,57500,AutoCAD LT | Fusion,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-05-09,16
Invotec Solutions Ltd,,unknown,True,upsell,16,8300,65800,57500,AutoCAD LT | Fusion,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-05-09,16
LOM Praha,00373503,unknown,True,upsell,5,30700,84700,54000,AEC Collection | AutoCAD LT | Revit | Revit LT,PDMC,PDMC; Forma; BIM Collaborate Pro,,2026-05-23,30
"Wavin Czechia, s.r.o.",27560597,D&M,False,greenfield,250,0,50000,50000,,,,,,
SANBORN s.r.o.,19329610,D&M,False,greenfield,250,0,50000,50000,,,,,,
SITECH,11980044,D&M,True,upsell,,23400,69400,46000,Fusion + PowerMill | Inventor | PDMC | Vault,Fusion Mfg Ext,Fusion Mfg Ext; Moldflow; Flex,,2026-11-03,194
Vortex Global,23003243,D&M,False,displacement,302,0,45300,45300,,,,dassault systemes,,
SERVISTEK s.r.o.,25304453,unknown,True,upsell,27,87400,131200,43800,Fusion | Inventor | Vault,PDMC,PDMC; Fusion Mfg Ext; Fusion Sim Ext,,2026-05-02,9
Ernst Leopold s.r.o.,63468867,D&M,False,greenfield,218,0,43600,43600,,,,,,
ESI Technology,,unknown,True,upsell,16,5000,47000,42000,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-08-16,115
A-Z ELEKTRO,09086650,D&M,True,upsell,106,5500,47000,41500,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-09-25,155
EVEKTOR,16361733,D&M,True,upsell,260,5500,47000,41500,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-09-25,155
Brněnské komunikace a.s.,60733098,D&M,True,upsell,281,5600,47000,41400,AutoCAD LT | Fusion | Revit LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-08-10,109
ProCom Automation GmbH,,unknown,True,upsell,82,39600,79200,39600,AutoCAD LT | Inventor | PDMC,AEC Collection,AEC Collection; AutoCAD (full); Fusion Mfg Ext,,2027-04-10,352
FS-Elliott Co.,,unknown,False,displacement,495,0,39600,39600,,,,mastercam; ptc windchill plm,,
100% REWORK,26892201,D&M,False,greenfield,263,0,39450,39450,,,,,,
R+W Antriebselemente,,unknown,False,greenfield,493,0,39440,39440,,,,,,
CEMB S.p.A.,,unknown,False,greenfield,483,0,38640,38640,,,,,,
"KOVOSVIT MAS, a.s.",06978347,D&M,False,greenfield,193,0,38600,38600,,,,,,
Spacemanic,08219907,AEC,True,upsell,3,3300,41600,38300,Flex | Fusion,AEC Collection,AEC Collection; PDMC; Fusion Mfg Ext,,2026-07-01,69
Antonín Tomášek & Hong Kong Design Institute,,unknown,False,greenfield,475,0,38000,38000,,,,,,
FIBRO GmbH | Standard Parts,,unknown,False,greenfield,474,0,37920,37920,,,,,,
Peddinghaus,,unknown,False,greenfield,469,0,37520,37520,,,,,,
Timo,02577551,M&E,True,upsell,,22400,59400,37000,Inventor | PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Vault; Moldflow,,2027-06-14,417
Tiyo a.s.,02673703,M&E,True,upsell,100,22400,59400,37000,Inventor | PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Vault; Moldflow,,2027-06-14,417
Vaski,,unknown,True,expand+displace,10,22400,59400,37000,Inventor | PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Vault; Moldflow,dassault systemes,2026-05-10,17
IVA Schmetz GmbH,,unknown,False,greenfield,462,0,36960,36960,,,,,,
Pilana Wood s.r.o.,25327933,D&M,True,upsell,20,10100,47000,36900,AutoCAD LT | Inventor,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-10-07,167
Lasvit,04414934,AEC,False,greenfield,246,0,36900,36900,,,,,,
BRUDERER AG,,unknown,False,greenfield,460,0,36800,36800,,,,,,
Teplárny Brno,19767447,AEC,True,expand+displace,419,10400,47000,36600,AutoCAD LT | Revit,AEC Collection,AEC Collection; PDMC; AutoCAD (full),microstation,2026-09-07,137
Pragostroj s.r.o.,08844453,D&M,True,upsell,,10500,47000,36500,AutoCAD LT | Fusion + PowerMill | Fusion + PowerShape,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-08-31,130
OSTROJ a.s.,42868912,unknown,True,upsell,731,10500,47000,36500,AutoCAD LT | Fusion + PowerMill | Fusion + PowerShape,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-08-31,130
STROJCAR s.r.o.,25829220,D&M,True,upsell,20,10500,47000,36500,AutoCAD LT | Fusion + PowerMill | Fusion + PowerShape,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-08-31,130
Jihostroj,15789730,unknown,True,upsell,,10500,47000,36500,AutoCAD LT | Fusion + PowerMill | Fusion + PowerShape,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-08-31,130
"IDEAL-Trade Service, spol. s r.o.",48908126,D&M,True,upsell,,93200,129600,36400,AutoCAD LT | PDMC | Vault,AEC Collection,AEC Collection; AutoCAD (full); Fusion Mfg Ext,,2026-05-22,29
